,100-F-T2-RE2-C_S87_,10-K-T1-Oli1-B_S12_,11-K-T1-Oli1-C_S23_,12-K-T1-Oli2-A_S34_,13-K-T1-Oli2-B_S44_,14-K-T1-Oli2-C_S55_,15-K-T1-Re1-A_S66_,16-K-T1-Re1-B_S77_,17-K-T1-Re1-C_S3_,18-K-T1-Re2-A_S13_,19-K-T1-Re2-B_S24_,1-K-T0-KO-A_S1_,21-K-T2-KO-A_S45_,22-K-T2-KO-B_S56_,23-K-T2-KO-C_S67_,24-K-T2-Oli1-A_S78_,25-K-T2-Oli1-B_S4_,26-K-T2-Oli1-C_S14_,27-K-T2-Oli2-A_S25_,28-K-T2-Oli2-B_S35_,29-K-T2-Oli2-C_S46_,30-K-T2-Re1-A_S57_,33-K-T2-Re2-A_S68_,34-K-T2-Re2-B_S79_,35-K-T2-Re2-C_S5_,36-K-T3-KO-A_S15_,37-K-T3-KO-B_S26_,38-K-T3-KO-C_S36_,39-K-T3-Oli1-A_S47_,3-K-T0-Re2-A_S22_,40-K-T3-Oli1-B_S58_,41-K-T3-Oli1-C_S69_,42-K-T3-Oli2-A_S80_,43-K-T3-Oli2-B_S6_,44-K-T3-Oli2-C_S16_,45-K-T3-Re1-A_S27_,46-K-T3-Re1-B_S37_,47-K-T3-Re1-C_S48_,48-K-T3-Re2-A_S59_,49-K-T3-Re2-B_S70_,4-K-T0-Oli1-A_S33_,50-K-T3-Re2-C_S81_,51-W-T0-KO-A_S7_,52-W-T0-Re1-A_S17_,53-W-T0-Re2-A_S28_,54-W-T0-Oli1-A_S38_,55-W-T0-Oli2-A_S49_,56-W-T1-KO-A_S60_,57-W-T1-KO-B_S71_,58-W-T1-KO-C_S82_,59-W-T1-Oli1-A_S8_,5-K-T0-Oli2-A_S43_,60-W-T1-Oli1-B_S18_,61-W-T1-Oli1-C_S29_,62-W-T1-Oli2-A_S39_,64-W-T1-Oli2-C_S50_,65-W-T1-Re1-A_S61_,66-W-T1-Re1-B_S72_,67-W-T1-Re1-C_S83_,68-W-T1-Re2-A_S9_,69-W-T1-Re2-B_S19_,6-K-T1-KO-A_S54_,70-W-T1-Re2-C_S30_,71-W-T2-KO-A_S40_,72-W-T2-KO-B_S51_,73-W-T2-KO-C_S62_,74-W-T2-Oli1-A_S73_,75-W-T2-Oli1-B_S84_,76-W-T2-Oli1-C_S10_,77-W-T2-Oli2-A_S20_,78-W-T2-Oli2-B_S31_,79-W-T2-Oli2-C_S41_,7-K-T1-KO-B_S65_,81-W-T2-Re1-B_S52_,82-W-T2-Re1-C_S63_,83-W-T2-Re2-A_S74_,84-W-T2-Re2-B_S85_,85-W-T2-Re2-C_S11_,88-F-T1-KO-A_S21_,89-F-T1-KO-B_S32_,8-K-T1-KO-C_S76_,90-F-T1-KO-C_S42_,91-F-T2-KO-A_S53_,92-F-T2-KO-B_S64_,93-F-T2-KO-C_S75_,94-F-T3-KO-A_S86_,9-K-T1-Oli1-A_S2_
ASV_65,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,33,0,8,18,1,3,1,3,282,0,220,277,57,63,3,14,38,51,49,0,46,260,362,751,530,790,1082,122,206,222,1,21,0,35,22,159,609,411,0,28,259,390,350,116,0
ASV_66,228,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,5,20,5,13,314,463,397,72,0,65,73,45,32,32,119,151,148,249,0,238,192,288,559,16,21,20,6,4,4,1,57,0,522,231,1937,35,10,0,28,354,520,406,71,0
ASV_67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,16,40,8,17,39,46,7,0,4,4,1,0,2,1,5,656,691,0,687,642,799,1824,284,353,427,5,2,0,0,1268,0,9,9,36,2,1,0,0,3,1,2,2,0
ASV_68,14,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,24,2,0,1036,890,906,20,0,11,17,10,16,253,753,785,415,498,0,389,81,126,141,36,45,63,6,7,6,0,206,0,24,13,56,10,11,0,150,242,203,291,12,0
ASV_69,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,1535,291,641,353,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,856,730,1,1738,20,22,10,0,0
ASV_70,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,2,3,1,0,0,0,3,0,1,14,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,12,1,0,0,0,0,0,0,2,0,377,247,1308,75,42,1,0,718,1146,844,2218,0
ASV_71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,79,277,236,2154,2365,0,2120,9,2,3,0,0,1,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0
ASV_72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,8,7,3,22,8,0,0,0,0,0,1,1,2,3,0,0,0,0,467,397,789,0,1,0,1,1,1,0,14,0,954,665,3154,111,87,0,29,31,36,37,206,0
ASV_73,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,0,2,5,5,0,2,0,4,5,13,7,0,6,1,0,106,2,2,15,19,16,0,1,0,0,0,1,2,9,5,16,17,0,15,19,37,53,2,0,0,0,0,0,0,8,0,289,228,1136,0,0,0,0,128,170,140,1132,0
ASV_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,433,709,1403,150,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,19,0,109,0,0,0,0,0
